URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (name),DistrictAdministrative (name),AdministrativeWard (name),ParliamentaryConstituency (name),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,PropsName,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (name),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate,Linked establishments,,,
100182,203,Greenwich,4077,Eltham Hill School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Girls,Does not apply,Does not apply,Not applicable,Non-selective,1050,No Special Classes,19-01-2023,1227,49,1178,20.8,Not applicable,,Not applicable,,Not under a federation,,10015766,,Not applicable,16-01-2019,14-11-2023,Eltham Hill,,,London,,SE9 5EE,http://elthamhill.com,2088592843,Ms,Erika,Podmore,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Greenwich,Middle Park & Horn Park,Eltham,(England/Wales) Urban major conurbation,E09000011,542250,174421,Greenwich 029,Greenwich 029C,,,,,Good,South-East England and South London,,1.00023E+11,,Not applicable,Not applicable,,,E02000341,E01001655,203,,Does not have links,,,
100183,203,Greenwich,4130,Plumstead Manor School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1500,No Special Classes,19-01-2023,1494,589,905,34.2,Not applicable,,Not applicable,,Not under a federation,,10005125,,Not applicable,15-06-2023,22-11-2023,Old Mill Road,,,London,,SE18 1QF,http://www.plumsteadmanor.com,2032603333,Mr,Douglas,Greig,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,MLD - Moderate Learning Difficulty,,,,,,,,,,,,,Resourced provision,,,,,London,Greenwich,Plumstead & Glyndon,Greenwich and Woolwich,(England/Wales) Urban major conurbation,E09000011,544831,178057,Greenwich 007,Greenwich 007E,,,,,Requires improvement,South-East England and South London,,1.00024E+11,,Not applicable,Not applicable,,,E02000319,E01001636,412,,Does not have links,,,
100190,203,Greenwich,4294,Thomas Tallis School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1950,No Special Classes,19-01-2023,2110,1107,1003,23.7,Not applicable,,Not applicable,,Not under a federation,,10006893,,Not applicable,12-12-2018,19-12-2023,Kidbrooke Park Road,,,London,,SE3 9PX,www.thomastallisschool.com,2088560115,Mrs,Carolyn,Roberts,Head Teacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,HI - Hearing Impairment,"SLCN - Speech, language and Communication",,,,,,,,,,,,Resourced provision,41,40,,,London,Greenwich,Kidbrooke Village & Sutcliffe,Eltham,(England/Wales) Urban major conurbation,E09000011,540856,175919,Greenwich 034,Greenwich 034F,,,,,Good,South-East England and South London,,10010195758,,Not applicable,Not applicable,,,E02006927,E01034174,319,,Does not have links,,,
100193,203,Greenwich,4682,St Ursula's Convent School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Girls,Roman Catholic,Does not apply,Archdiocese of Southwark,Non-selective,675,No Special Classes,19-01-2023,631,0,631,17.6,Not applicable,,Not applicable,,Not under a federation,,10017241,,Not applicable,12-03-2015,20-11-2023,Crooms Hill,Greenwich,,London,,SE10 8HN,www.stursulas.com,2088584613,Ms,Ursula,Norbert,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Greenwich,Greenwich Park,Greenwich and Woolwich,(England/Wales) Urban major conurbation,E09000011,538590,177088,Greenwich 038,Greenwich 038C,,,,,Outstanding,South-East England and South London,,1.00023E+11,,Not applicable,Not applicable,,,E02006931,E01001642,111,,Does not have links,,,
100279,204,Hackney,4310,Stoke Newington School and Sixth Form,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1670,No Special Classes,19-01-2023,1708,947,761,32,Not applicable,,Not applicable,,Not under a federation,,10010031,,Not applicable,06-07-2022,13-11-2023,Clissold Road,,Hackney,London,,N16 9EX,http://www.sns.hackney.sch.uk/,2072419600,Mrs,Zehra,Jaffer,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hackney,Clissold,Hackney North and Stoke Newington,(England/Wales) Urban major conurbation,E09000012,532879,186072,Hackney 012,Hackney 012B,,,,,Good,East of England and North-East London,,1.00021E+11,,Not applicable,Not applicable,,,E02000356,E01001737,405,,Does not have links,,,
100282,204,Hackney,4641,Our Lady's Catholic High School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,Roman Catholic,Does not apply,Archdiocese of Westminster,Non-selective,756,No Special Classes,19-01-2023,576,21,555,46.8,Not applicable,,Not applicable,,Not under a federation,,10004917,,Not applicable,21-06-2023,07-12-2023,6-16 Amhurst Park,Stamford Hill,,London,,N16 5AF,http://www.ourladys.hackney.sch.uk/,2088002158,Mr,Andy,English,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hackney,Springfield,Hackney North and Stoke Newington,(England/Wales) Urban major conurbation,E09000012,533481,187911,Hackney 001,Hackney 001B,,,,,Good,East of England and North-East London,,10008229436,,Not applicable,Not applicable,,,E02000345,E01001809,219,,Does not have links,,,
100284,204,Hackney,4697,The Urswick School - A Church of England Secondary School,Voluntary aided school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Church of England,Does not apply,Diocese of London,Non-selective,1050,No Special Classes,19-01-2023,893,531,362,68.9,Not applicable,,Not applicable,,Not under a federation,,10015917,,Not applicable,06-07-2022,29-11-2023,Paragon Road,Hackney,,London,,E9 6NR,www.theurswickschool.co.uk,2089852430,Mr,Richard,Brown,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hackney,Homerton,Hackney South and Shoreditch,(England/Wales) Urban major conurbation,E09000012,535046,184634,Hackney 017,Hackney 017A,,,,,Good,East of England and North-East London,,1.00023E+11,,Not applicable,Not applicable,,,E02000361,E01001731,529,,Does not have links,,,
100285,204,Hackney,4714,Cardinal Pole Catholic School,Voluntary aided school,Local authority maintained schools,"Open, but proposed to close",Not applicable,,Academy Converter,31-03-2024,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Westminster,Non-selective,1140,No Special Classes,19-01-2023,1101,577,524,52.9,Not applicable,,Not applicable,,Not under a federation,,10001166,,Not applicable,09-03-2022,04-12-2023,205 Morning Lane,Hackney,,London,,E9 6LG,http://www.cardinalpole.co.uk,2089855150,Mr,Adam,Hall,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hackney,Homerton,Hackney South and Shoreditch,(England/Wales) Urban major conurbation,E09000012,535492,184933,Hackney 019,Hackney 019B,,,,,Good,East of England and North-East London,,1.00023E+11,,Not applicable,Not applicable,,,E02000363,E01001730,463,,150604 Successor,,,
100453,206,Islington,4112,Beacon High,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,600,No Special Classes,19-01-2023,381,213,168,68.9,Not applicable,,Not applicable,,Supported by a federation,Islington Futures,10014213,,Not applicable,17-11-2022,14-11-2023,Hilldrop Road,,Islington,London,,N7 0JG,http://www.beaconhigh.org,2076075885,Mr,Alan,Streeter,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Islington,Tufnell Park,Islington North,(England/Wales) Urban major conurbation,E09000019,529750,185518,Islington 010,Islington 010C,,,,,Good,North-West London and South-Central England,,5300047194,,Not applicable,Not applicable,,,E02000563,E01002784,262,,Does not have links,,,
100455,206,Islington,4307,Highbury Fields School,Community school,Local authority maintained schools,Open,Not applicable,,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Girls,Does not apply,Does not apply,Not applicable,Non-selective,1050,No Special Classes,19-01-2023,767,0,767,47.9,Not applicable,,Not applicable,,Not under a federation,,10003067,,Not applicable,28-09-2022,11-10-2023,Highbury Hill,,,London,,N5 1AR,http://www.highburyfields.islington.sch.uk/,2072881888,Mr,Tim,Fox,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Islington,Highbury,Islington North,(England/Wales) Urban major conurbation,E09000019,531721,185476,Islington 013,Islington 013C,,,,,Outstanding,North-West London and South-Central England,,5300043848,,Not applicable,Not applicable,,,E02000566,E01002745,323,,Does not have links,,,
