URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (name),DistrictAdministrative (name),AdministrativeWard (name),ParliamentaryConstituency (name),UrbanRural (name),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),InspectorateName (name),SENStat,SENNoStat,PropsName,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,QABName (name),EstablishmentAccredited (name),QABReport,CHNumber,MSOA (code),LSOA (code),FSM,AccreditationExpiryDate,Linked establishments,,,
133386,309,Haringey,6905,Greig City Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2002,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Church of England,None,Diocese of London,Non-selective,1200,Not applicable,19-01-2023,1144,637,507,33.1,Supported by a single-academy trust,GREIG CITY ACADEMY,Linked to a sponsor,Greig Trust,Not applicable,,10015671,,Not applicable,28-11-2019,04-12-2023,High Street,Hornsey,Haringey,London,,N8 7NU,www.greigcityacademy.co.uk,2086090100,Mr,Paul,Sutton,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Haringey,Hornsey,Hornsey and Wood Green,(England/Wales) Urban major conurbation,E09000014,530501,189293,Haringey 020,Haringey 020H,,,,,Good,East of England and North-East London,,10003976087,,Not applicable,Not applicable,,,E02000416,E01033946,314,,102160 Predecessor,,,
133405,317,Redbridge,4040,Oaks Park High School,Community school,Local authority maintained schools,Open,Not applicable,01-09-2001,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1873,Has Special Classes,19-01-2023,1841,971,870,19.5,Not applicable,,Not applicable,,Not under a federation,,10009861,,Not applicable,09-10-2019,12-09-2023,45-65 Oaks Lane,Newbury Park,,Ilford,Essex,IG2 7PQ,http://oakspark.co.uk/,2085902245,Ms,Joanne,Hamill,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Redbridge,Aldborough,Ilford North,(England/Wales) Urban major conurbation,E09000026,545026,188695,Redbridge 013,Redbridge 013D,,,,,Good,East of England and North-East London,,1.00023E+11,,Not applicable,Not applicable,,,E02000763,E01003642,291,,Does not have links,,,
133561,301,Barking and Dagenham,4029,Jo Richardson Community School,Community school,Local authority maintained schools,Open,New Provision,01-09-2002,Not applicable,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1700,Not applicable,19-01-2023,1682,830,852,32.1,Not applicable,,Not applicable,,Not under a federation,,10016124,,Not applicable,25-01-2023,17-11-2023,Gale Street,Castle Green,,Dagenham,Essex,RM9 4UN,http://jorichardson.org.uk/,2082706222,Ms,Lisa,Keane,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,SEN unit,,,26,24,London,Barking and Dagenham,Eastbury,Barking,(England/Wales) Urban major conurbation,E09000002,547584,183747,Barking and Dagenham 022,Barking and Dagenham 022D,,,,,Good,East of England and North-East London,,10002171932,,Not applicable,Not applicable,,,E02000023,E01000096,468,,Does not have links,,,
133580,868,Windsor and Maidenhead,4084,Churchmead Church of England (VA) School,Voluntary aided school,Local authority maintained schools,Open,Change Religious Character,01-09-2002,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Church of England,Does not apply,Diocese of Oxford,Non-selective,656,Not applicable,19-01-2023,535,260,275,23.2,Not applicable,,Not applicable,,Not under a federation,,10001431,,Not applicable,02-07-2019,15-11-2023,Priory Way,Datchet,,Slough,Berkshire,SL3 9JQ,http://churchmead.org,1753211330,Mr,Chris,Tomes,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,South East,Windsor and Maidenhead,"Datchet, Horton & Wraysbury",Windsor,(England/Wales) Rural town and fringe,E06000040,498699,177282,Windsor and Maidenhead 011,Windsor and Maidenhead 011B,,,,,Good,North-West London and South-Central England,,1.00081E+11,,Not applicable,Not applicable,,,E02003431,E01016565,124,,110073 Predecessor,,,
133599,204,Hackney,4318,Yesodey Hatorah Senior Girls School,Voluntary aided school,Local authority maintained schools,Open,Former Independent,01-09-2005,Not applicable,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Girls,Jewish,Does not apply,Not applicable,Non-selective,400,Not applicable,19-01-2023,358,0,358,3.1,Not applicable,,Not applicable,,Not under a federation,,10015077,,Not applicable,20-10-2021,23-11-2023,Egerton Road,Stamford Hill,,London,,N16 6UB,yesodeyhatorah.org,2088265500,Mrs,Sonia,Mossberg,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hackney,Springfield,Hackney North and Stoke Newington,(England/Wales) Urban major conurbation,E09000012,533959,187840,Hackney 004,Hackney 004E,,,,,Requires improvement,East of England and North-East London,,1.00023E+11,,Not applicable,Not applicable,,,E02000348,E01001826,11,,Does not have links,,,
133724,304,Brent,4033,JFS,Voluntary aided school,Local authority maintained schools,Open,New Provision,01-09-2002,,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Jewish,Does not apply,Not applicable,Non-selective,2165,Not applicable,19-01-2023,1887,967,920,4.2,Not applicable,,Not applicable,,Not under a federation,,10009664,,Not applicable,05-04-2022,19-12-2023,,Kenton,The Mall,Harrow,Middlesex,HA3 9TE,www.jfs.brent.sch.uk,2082063100,Dr,David,Moody,Executive Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Brent,Kenton,Brent North,(England/Wales) Urban major conurbation,E09000005,519199,188305,Brent 006,Brent 006B,,,,,Good,North-West London and South-Central England,,202141486,,Not applicable,Not applicable,,,E02000098,E01000484,60,,Does not have links,,,
134003,315,Merton,6906,St Mark's Church of England Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2006,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Church of England,None,Diocese of Southwark,Non-selective,900,Not applicable,19-01-2023,823,441,382,41.8,Supported by a multi-academy trust,ANTHEM SCHOOLS TRUST,Linked to a sponsor,Anthem Schools Trust,Not applicable,,10017766,,Not applicable,09-03-2023,01-12-2023,Acacia Road,,,Mitcham,Surrey,CR4 1SF,http://www.stmarksacademy.com/,2086486627,Ms,Hannah,Fahey,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Merton,Figge's Marsh,Mitcham and Morden,(England/Wales) Urban major conurbation,E09000024,528471,169091,Merton 014,Merton 014A,,,,,Good,South-East England and South London,,48000803,,Not applicable,Not applicable,,,E02000702,E01003387,305,,132166 Predecessor,,,
134042,938,West Sussex,4003,Oriel High School,Community school,Local authority maintained schools,Open,New Provision,01-09-2004,Not applicable,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Non-selective,1450,Not applicable,19-01-2023,1469,732,737,12.1,Not applicable,,Not applicable,,Not under a federation,,10016856,,Not applicable,02-10-2019,15-11-2023,Matthews Drive,Maidenbower,,Crawley,West Sussex,RH10 7XW,http://www.oriel.w-sussex.sch.uk/,1293880350,Mr,Philip,Stack,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,SpLD - Specific Learning Difficulty,,,,,,,,,,,,,Resourced provision,16,24,,,South East,Crawley,Maidenbower,Crawley,(England/Wales) Urban city and town,E10000032,529045,135637,Crawley 009,Crawley 009E,,,,,Good,South-East England and South London,,10034141654,,Not applicable,Not applicable,,,E02006583,E01031579,149,,Does not have links,,,
134222,210,Southwark,6905,City of London Academy (Southwark),Academy sponsor led,Academies,Open,New Provision,01-09-2003,Not applicable,,Secondary,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1200,Not applicable,19-01-2023,1577,836,741,43.9,Supported by a multi-academy trust,CITY OF LONDON ACADEMIES TRUST,Linked to a sponsor,City of London Academies Trust,Not applicable,,10017885,,Not applicable,24-11-2021,27-11-2023,240 Lynton Road,,,London,,SE1 5LA,http://www.cityacademy.co.uk/,2073945100,,Michael,Baxter,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Southwark,South Bermondsey,Bermondsey and Old Southwark,(England/Wales) Urban major conurbation,E09000028,534379,178443,Southwark 010,Southwark 010C,,,,,Good,South-East England and South London,,10009800190,,Not applicable,Not applicable,,,E02000816,E01004038,517,,Does not have links,,,
134225,210,Southwark,6906,Harris Academy Peckham,Academy sponsor led,Academies,Open,New Provision,03-06-2003,Not applicable,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,900,Not applicable,19-01-2023,589,338,251,44.4,Supported by a multi-academy trust,HARRIS FEDERATION,Linked to a sponsor,Harris Federation,Not applicable,,10017606,,Not applicable,12-12-2019,16-11-2023,112 Peckham Road,,,London,,SE15 5DZ,http://www.harrispeckham.org.uk/,2077034417,Ms,Claudette,Bergin,Executive Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Southwark,Rye Lane,Camberwell and Peckham,(England/Wales) Urban major conurbation,E09000028,533853,176621,Southwark 022,Southwark 022E,,,,,Good,South-East England and South London,,2.00003E+11,,Not applicable,Not applicable,,,E02000828,E01004067,261,,100848 Predecessor,,,
134226,304,Brent,6905,Harris Lowe Academy Willesden,Academy sponsor led,Academies,Open,New Provision,01-09-2003,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1200,Not applicable,19-01-2023,1156,624,532,36.1,Supported by a multi-academy trust,HARRIS FEDERATION,Linked to a sponsor,Harris Federation,Not applicable,,10015295,,Not applicable,30-01-2019,14-12-2023,Doyle Gardens,Willesden,,London,,NW10 3ST,https://www.harrislowewillesden.org.uk/,2088388700,Mr,Joshua,Deery,Interim Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Brent,Roundwood,Brent Central,(England/Wales) Urban major conurbation,E09000005,522520,183720,Brent 024,Brent 024D,,,,,Good,North-West London and South-Central England,,202191532,,Not applicable,Not applicable,,,E02000116,E01000643,324,,101551 Predecessor,,,
134311,308,Enfield,6905,Oasis Academy Enfield,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,None,None,Not applicable,Non-selective,1150,No Special Classes,19-01-2023,815,372,443,47.7,Supported by a multi-academy trust,OASIS COMMUNITY LEARNING,Linked to a sponsor,Oasis Community Learning,Not applicable,,10021087,,Not applicable,05-06-2018,14-11-2023,Kinetic Crescent,Innova Park,,Enfield,Middlesex,EN3 7XH,www.oasisacademyenfield.org,1992655400,Co Headteacher,Carvey Francis,Rory Sheridan,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Enfield,Enfield Lock,Enfield North,(England/Wales) Urban major conurbation,E09000010,536783,199005,Enfield 003,Enfield 003B,,,,,Good,North-West London and South-Central England,,207006881,,Not applicable,Not applicable,,,E02000279,E01001445,329,,Does not have links,,,
134314,206,Islington,6905,St Mary Magdalene Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,All-through,4,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Church of England,None,Diocese of London,Non-selective,1360,No Special Classes,19-01-2023,1536,803,733,33.6,Supported by a multi-academy trust,HIVE EDUCATION TRUST,Linked to a sponsor,Diocese of London,Not applicable,,10024207,,Not applicable,04-07-2023,03-11-2023,Liverpool Road,Islington,,London,,N7 8PG,www.smmacademy.org,2076970123,Ms,Victoria,Linsley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Islington,Laycock,Islington South and Finsbury,(England/Wales) Urban major conurbation,E09000019,531162,184855,Islington 013,Islington 013E,,,,,Outstanding,North-West London and South-Central England,,5300060053,,Not applicable,Not applicable,,,E02000566,E01002796,411,,100445 Predecessor,,,
134369,307,Ealing,6905,Alec Reed Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2003,Not applicable,,All-through,3,19,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1895,Not applicable,19-01-2023,1677,917,760,37.7,Supported by a single-academy trust,THE ALEC REED ACADEMY,Linked to a sponsor,Alec Reed,Not applicable,,10015574,,Not applicable,21-06-2023,27-11-2023,Bengarth Road,,,Northolt,Middlesex,UB5 5LQ,http://www.alecreedacademy.co.uk,2088414511,Mr,Phil,Cosby,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Ealing,Northolt West End,Ealing North,(England/Wales) Urban major conurbation,E09000009,512270,183969,Ealing 008,Ealing 008C,,,,,Good,North-West London and South-Central England,,12141189,,Not applicable,Not applicable,,,E02000245,E01001326,548,,101871 Predecessor,101929 Predecessor,,
134693,204,Hackney,6905,Mossbourne Community Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2004,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1400,Not applicable,19-01-2023,1447,753,694,41.5,Supported by a multi-academy trust,THE MOSSBOURNE FEDERATION,Linked to a sponsor,The Mossbourne Federation,Not applicable,,10017988,,Not applicable,29-09-2021,02-01-2024,100 Downs Park Road,Hackney,,London,,E5 8JY,http://www.mca.mossbourne.org/,2085255200,Ms,Rebecca,Warren,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,Resourced provision,,,,,London,Hackney,Hackney Central,Hackney South and Shoreditch,(England/Wales) Urban major conurbation,E09000012,534509,185417,Hackney 016,Hackney 016D,,,,,Outstanding,East of England and North-East London,,10091775145,,Not applicable,Not applicable,,,E02000360,E01001758,448,,Does not have links,,,
134798,302,Barnet,6905,London Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2004,Not applicable,,All-through,4,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1870,Not applicable,19-01-2023,1736,991,745,38.4,Supported by a multi-academy trust,AIM ACADEMIES TRUST,Linked to a sponsor,Peter Shalson,Not applicable,,10016231,,Not applicable,04-07-2023,13-12-2023,Spur Road,,,Edgware,Middlesex,HA8 8DE,http://www.londonacademy.org.uk/,2082381100,Mr,Alex,Warburton,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,"SLCN - Speech, language and Communication",,,,,,,,,,,,,Resourced provision,,,,,London,Barnet,Edgware,Hendon,(England/Wales) Urban major conurbation,E09000003,518603,192995,Barnet 014,Barnet 014D,,,,,Good,North-West London and South-Central England,,200140408,,Not applicable,Not applicable,,,E02000037,E01000189,527,,101344 Predecessor,,,
134815,208,Lambeth,6905,The Elms Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2004,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Christian,None,Not applicable,Non-selective,875,Not applicable,19-01-2023,754,416,338,42.7,Supported by a multi-academy trust,UNITED LEARNING TRUST,Linked to a sponsor,United Learning Trust,Not applicable,,10016236,,Not applicable,05-02-2020,06-12-2023,Elms Road,Clapham,,London,,SW4 9ET,www.theelmsacademy.org.uk,2078194700,Mrs,Amy,Welch,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Lambeth,Clapham Common & Abbeville,Streatham,(England/Wales) Urban major conurbation,E09000022,529241,174795,Lambeth 019,Lambeth 019E,,,,,Good,South-East England and South London,,10008794029,,Not applicable,Not applicable,,,E02000636,E01003033,265,,Does not have links,,,
135004,312,Hillingdon,6906,Harefield School,Academy sponsor led,Academies,Open,New Provision,01-09-2005,Not applicable,,Secondary,11,18,Not applicable,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1000,Not applicable,19-01-2023,306,164,142,36.1,Supported by a multi-academy trust,QED ACADEMY TRUST,-,,Not applicable,,10003498,,Not applicable,24-06-2021,14-11-2023,Northwood Way,Harefield,,Uxbridge,,UB9 6ET,http://www.theharefieldacademy.org,1895822108,Headteacher,Katrina,Boyle,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Hillingdon,Harefield Village,"Ruislip, Northwood and Pinner",(England/Wales) Rural town and fringe,E09000017,505830,190837,Hillingdon 003,Hillingdon 003C,,,,,Good,North-West London and South-Central England,,1.00023E+11,,Not applicable,Not applicable,,,E02000496,E01002440,86,,102428 Predecessor,,,
135070,209,Lewisham,6906,Haberdashers' Knights Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2005,Not applicable,,Secondary,11,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1340,Not applicable,19-01-2023,1254,738,516,41.7,Supported by a multi-academy trust,HABERDASHERS' ASKE'S FEDERATION TRUST,Linked to a sponsor,The Haberdashers' Livery Company,Not applicable,,10015563,,Not applicable,26-01-2023,13-09-2023,Launcelot Road,,,Bromley,Kent,BR1 5EB,https://www.habsknights.org.uk/,2084619240,Dr,Tesca,Bennett,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Lewisham,Downham,Lewisham East,(England/Wales) Urban major conurbation,E09000023,540266,171826,Lewisham 037,Lewisham 037B,,,,,Good,South-East England and South London,,1.00023E+11,,Not applicable,Not applicable,,,E02006783,E01003237,414,,100744 Predecessor,147363 Successor - Split School,100698 Predecessor,
135073,209,Lewisham,6905,Haberdashers' Hatcham College,Academy sponsor led,Academies,Open,New Provision,01-09-2005,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1440,Not applicable,19-01-2023,1376,679,697,27.7,Supported by a multi-academy trust,HABERDASHERS' ASKE'S FEDERATION TRUST,Linked to a sponsor,The Haberdashers' Livery Company,Not applicable,,10007941,,Not applicable,27-02-2019,13-09-2023,Pepys Road,,New Cross,London,,SE14 5SF,www.habshatcham.org.uk,2076529510,Ms,Katie,Scott,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Lewisham,Telegraph Hill,"Lewisham, Deptford",(England/Wales) Urban major conurbation,E09000023,535996,176135,Lewisham 010,Lewisham 010C,,,,,Good,South-East England and South London,,2.00001E+11,,Not applicable,Not applicable,,,E02000662,E01003342,306,,100759 Predecessor,100697 Predecessor,147355 Successor - Split School,
135242,213,Westminster,6907,Ark King Solomon Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,All-through,2,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,None,None,Not applicable,Non-selective,1300,No Special Classes,19-01-2023,1303,663,640,55.5,Supported by a multi-academy trust,ARK SCHOOLS,Linked to a sponsor,ARK Schools,Not applicable,,10021088,,Not applicable,15-05-2013,14-11-2023,Penfold Street,,,London,,NW1 6RX,www.kingsolomonacademy.org,2075636900,Mr,Max,Haimendorf,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Westminster,Church Street,Westminster North,(England/Wales) Urban major conurbation,E09000033,527112,181851,Westminster 009,Westminster 009J,,,,,Outstanding,North-West London and South-Central England,United Kingdom,10033604717,,Not applicable,Not applicable,,,E02000968,E01033604,635,,Does not have links,,,
135249,306,Croydon,6905,Harris Academy South Norwood,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,Secondary,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1150,No Special Classes,19-01-2023,2155,1181,974,33.3,Supported by a multi-academy trust,HARRIS FEDERATION,Linked to a sponsor,Harris Federation,Not applicable,,10021076,,Not applicable,12-05-2022,18-12-2023,Cumberlow Avenue,,,London,,SE25 6AE,http://www.harrissouthnorwood.org.uk/,2084055070,Mr,Rob,Hitch,Executive Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Croydon,South Norwood,Croydon North,(England/Wales) Urban major conurbation,E09000008,533991,168611,Croydon 007,Croydon 007D,,,,,Good,South-East England and South London,,10014053716,,Not applicable,Not applicable,,,E02000200,E01001142,567,,101812 Predecessor,139906 Predecessor - merged,150055 Successor - Split School,135416 Sixth Form Centre Link
135264,209,Lewisham,6907,St Matthew Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,All-through,4,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,None,Archdiocese of Southwark,Non-selective,1650,Not applicable,19-01-2023,1052,596,456,35.6,Supported by a single-academy trust,ST MATTHEW ACADEMY,Linked to a sponsor,Archdiocese of Southwark,Not applicable,,10021091,,Not applicable,17-10-2019,13-09-2023,St Joseph's Vale,,Blackheath,London,,SE3 0XX,,2088536250,Ms,Miranda,Baldwin,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,Not applicable,,,,,London,Lewisham,Blackheath,Lewisham East,(England/Wales) Urban major conurbation,E09000023,539032,175812,Lewisham 007,Lewisham 007A,,,,,Good,South-East England and South London,,10023231384,,Not applicable,Not applicable,,,E02000659,E01003199,374,,100751 Predecessor,100736 Predecessor,,
135297,886,Kent,6910,The Leigh Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,Secondary,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1500,No Special Classes,19-01-2023,1359,768,591,23.6,Supported by a multi-academy trust,LEIGH ACADEMIES TRUST,Linked to a sponsor,Leigh Academies Trust,Not applicable,,10021033,,Not applicable,26-04-2023,13-11-2023,Green Street Green Road,,,Dartford,Kent,DA1 1QE,http://www.leighacademy.org.uk/,1322620400,Mrs,Julia,Collins,Academy Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,HI - Hearing Impairment,"SLCN - Speech, language and Communication",,,,,,,,,,,,Resourced provision,16,16,,,South East,Dartford,Brent,Dartford,(England/Wales) Urban major conurbation,E10000016,555487,173173,Dartford 008,Dartford 008B,,,,,Good,South-East England and South London,,1.00062E+11,,Not applicable,Not applicable,,,E02005035,E01024136,272,,119024 Predecessor,,,
135311,306,Croydon,6906,Harris City Academy Crystal Palace,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1300,No Special Classes,19-01-2023,1271,733,538,29.5,Supported by a multi-academy trust,HARRIS FEDERATION,Linked to a sponsor,Harris Federation,Not applicable,,10021077,,Not applicable,17-10-2014,16-11-2023,Maberley Road,Upper Norwood,,London,,SE19 2JH,http://www.harriscrystalpalace.org.uk/,2087712261,,Carrie,Senior,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Croydon,Crystal Palace & Upper Norwood,Croydon North,(England/Wales) Urban major conurbation,E09000008,533846,169827,Croydon 001,Croydon 001B,,,,,Outstanding,South-East England and South London,,1.00023E+11,,Not applicable,Not applicable,,,E02000194,E01001138,264,,101850 Predecessor,135416 Sixth Form Centre Link,,
135315,210,Southwark,6909,Ark Walworth Academy,Academy sponsor led,Academies,Open,New Provision,01-09-2007,Not applicable,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,1200,No Special Classes,19-01-2023,1026,586,440,54.2,Supported by a multi-academy trust,ARK SCHOOLS,Linked to a sponsor,ARK Schools,Not applicable,,10021094,,Not applicable,31-01-2018,28-11-2023,Shorncliffe Road,,,London,,SE1 5UJ,http://walworthacademy.org/,2074509570,Ms,Jessica,West,Principal,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,London,Southwark,Faraday,Bermondsey and Old Southwark,(England/Wales) Urban major conurbation,E09000028,533441,178209,Southwark 015,Southwark 015F,,,,,Good,South-East England and South London,,2.00003E+11,,Not applicable,Not applicable,,,E02000821,E01033878,446,,100843 Predecessor,,,
